,num,area,rating_num,genre
107,侧耳倾听,['剧情 爱情 动画'],201148,8.8
108,风之谷,['动画 奇幻 冒险'],202190,8.8
109,爱在日落黄昏时,['剧情 爱情'],229274,8.8
110,倩女幽魂,['剧情 爱情 武侠 古装'],305074,8.6
111,超脱,['剧情'],205176,8.8
112,恐怖直播,['剧情 犯罪 悬疑'],268628,8.7
113,红辣椒,['动画 悬疑 科幻 惊悚'],160794,8.9
114,喜剧之王,['喜剧 剧情 爱情'],376816,8.6
115,小森林 夏秋篇,['剧情'],165402,8.9
116,菊次郎的夏天,['剧情 喜剧'],219117,8.7
117,驯龙高手,['喜剧 动画 奇幻 冒险'],333259,8.7
118,幸福终点站,['喜剧 剧情 爱情'],256802,8.7
119,借东西的小人阿莉埃蒂,['动画 奇幻 冒险'],249165,8.7
120,神偷奶爸,['喜剧 动画 冒险'],446700,8.5
121,岁月神偷,['剧情 家庭'],341716,8.6
122,萤火虫之墓,['动画 剧情 战争'],230828,8.7
123,七武士,['动作 冒险 剧情'],89470,9.2
124,杀人回忆,['犯罪 剧情 悬疑 惊悚'],238795,8.7
125,怪兽电力公司,['儿童 喜剧 动画 奇幻 冒险'],284336,8.6
126,谍影重重3,['动作 悬疑 惊悚'],206695,8.7
127,喜宴,['剧情 喜剧 爱情 同性 家庭'],160623,8.8
128,电锯惊魂,['悬疑 惊悚 恐怖'],225148,8.7
129,贫民窟的百万富翁,['剧情 爱情'],435260,8.5
130,东邪西毒,['剧情 动作 爱情 武侠 古装'],289860,8.6
131,真爱至上,['喜剧 剧情 爱情'],351373,8.5
132,记忆碎片,['犯罪 剧情 悬疑 惊悚'],315962,8.6
133,黑天鹅,['剧情 惊悚'],468712,8.5
134,疯狂原始人,['喜剧 动画 冒险'],420532,8.7
135,小森林 冬春篇,['剧情'],142959,9.0
136,雨人,['剧情'],231022,8.6
137,请以你的名字呼唤我,['剧情 爱情 同性'],219516,8.8
138,哈利·波特与死亡圣器(下),['剧情 悬疑 奇幻 冒险'],316472,8.7
139,海洋,['纪录片'],106068,9.0
140,萤火之森,['剧情 爱情 动画 奇幻'],191066,8.8
141,卢旺达饭店,['剧情 历史 战争'],137642,8.9
142,英雄本色,['动作 犯罪'],201931,8.6
143,7号房的礼物,['剧情 喜剧 家庭'],208148,8.7
144,心迷宫,['剧情 犯罪 悬疑'],213353,8.7
145,虎口脱险,['喜剧 战争'],119040,8.9
146,荒蛮故事,['剧情 喜剧 犯罪'],170585,8.8
147,傲慢与偏见,['剧情 爱情'],347190,8.5
148,燃情岁月,['剧情 爱情 西部 家庭'],162176,8.7
149,超能陆战队,['喜剧 动作 科幻 动画 冒险'],433396,8.6
150,海边的曼彻斯特,['剧情 家庭'],234667,8.6
151,蝙蝠侠：黑暗骑士崛起,['剧情 动作 科幻 犯罪 惊悚'],335292,8.6
152,唐伯虎点秋香,['喜剧 爱情 古装'],396596,8.4
153,教父3,['剧情 犯罪'],151657,8.8
154,纵横四海,['剧情 喜剧 动作 犯罪'],172819,8.7
155,时空恋旅人,['剧情 爱情 奇幻'],237436,8.6
156,玩具总动员3,['喜剧 动画 奇幻 冒险'],217537,8.8
157,完美的世界,['剧情 犯罪'],94320,9.0
158,恋恋笔记本,['剧情 爱情'],322758,8.5
159,花样年华,['剧情 爱情'],278995,8.5
160,达拉斯买家俱乐部,['剧情 传记 同性'],212590,8.7
161,二十二,['纪录片'],124632,8.7
162,无人知晓,['剧情'],86030,9.1
163,雨中曲,['喜剧 歌舞 爱情'],103737,9.0
164,魂断蓝桥,['剧情 战争 爱情'],143092,8.8
165,猜火车,['犯罪 剧情'],272465,8.5
166,穿越时空的少女,['剧情 爱情 科幻 动画'],206543,8.6
167,我是山姆,['剧情 家庭'],120271,8.8
168,血战钢锯岭,['剧情 传记 历史 战争'],371736,8.7
169,冰川时代,['喜剧 动画 冒险'],309474,8.5
170,人工智能,['冒险 剧情 科幻'],214403,8.6
171,爆裂鼓手,['剧情 音乐'],269530,8.6
172,浪潮,['剧情 惊悚'],148677,8.7
173,朗读者,['剧情 爱情'],300862,8.5
174,罗生门,['犯罪 剧情 悬疑'],143500,8.7
175,未麻的部屋,['动画 奇幻 惊悚'],114994,8.8
176,香水,['剧情 犯罪 奇幻'],308436,8.4
177,被解救的姜戈,['剧情 动作 西部 冒险'],291104,8.6
178,阿飞正传,['犯罪 剧情 爱情'],236129,8.5
179,头脑特工队,['喜剧 动画 冒险'],266715,8.7
180,可可西里,['剧情 犯罪'],144737,8.7
181,恐怖游轮,['剧情 悬疑 惊悚'],371791,8.4
182,一次别离,['剧情 家庭'],146709,8.7
183,房间,['剧情 家庭'],182122,8.8
184,追随,['犯罪 悬疑 惊悚'],91436,8.9
185,撞车,['犯罪 剧情'],191291,8.6
186,战争之王,['剧情 犯罪'],191891,8.6
187,你的名字。,['剧情 爱情 动画'],563765,8.4
188,地球上的星星,['剧情 儿童 家庭'],96742,8.8
189,模仿游戏,['剧情 传记 战争 同性'],290449,8.6
190,魔女宅急便,['动画 奇幻 冒险'],221211,8.5
191,一个叫欧维的男人决定去死,['剧情'],145372,8.8
192,忠犬八公物语,['剧情'],71362,9.0
193,谍影重重,['动作 悬疑 惊悚'],216132,8.5
194,牯岭街少年杀人事件,['剧情 犯罪'],121090,8.8
195,梦之安魂曲,['剧情'],124112,8.7
196,谍影重重2,['动作 悬疑 惊悚'],179465,8.6
197,完美陌生人,['剧情 喜剧'],239363,8.6
198,青蛇,['剧情 奇幻 古装'],251589,8.5
199,哪吒闹海,['冒险 动画 奇幻'],93882,8.9
200,惊魂记,['悬疑 惊悚 恐怖'],95862,8.9
201,再次出发之纽约遇见你,['喜剧 爱情 音乐'],196743,8.5
202,小萝莉的猴神大叔,['剧情 喜剧 动作'],193139,8.5
203,黑客帝国3：矩阵革命,['动作 科幻'],177619,8.6
204,东京物语,['剧情 家庭'],58655,9.2
205,新龙门客栈,['剧情 动作 武侠 古装'],209042,8.5
206,源代码,['科幻 悬疑 惊悚'],447862,8.4
207,终结者2：审判日,['动作 科幻'],157244,8.6
208,步履不停,['剧情 家庭'],99994,8.8
209,末路狂花,['犯罪 剧情 惊悚'],117013,8.7
210,绿里奇迹,['犯罪 剧情 奇幻 悬疑'],119711,8.7
211,海街日记,['剧情 家庭'],158687,8.7
212,秒速5厘米,['动画 剧情 爱情'],339312,8.3
213,碧海蓝天,['剧情 爱情'],113934,8.7
214,城市之光,['喜剧 剧情 爱情'],51221,9.2
215,初恋这件小事,['剧情 喜剧 爱情'],515660,8.3
216,无敌破坏王,['喜剧 动画 奇幻 冒险'],209369,8.7
217,这个男人来自地球,['剧情 科幻'],203214,8.5
218,无耻混蛋,['剧情 犯罪'],246767,8.5
219,勇闯夺命岛,['动作 冒险'],155805,8.6
220,爱在午夜降临前,['剧情 爱情'],132747,8.8
221,疯狂的石头,['喜剧 犯罪'],357543,8.3
222,海盗电台,['剧情 喜剧 音乐'],177626,8.6
223,卡萨布兰卡,['剧情 爱情 战争'],137465,8.6
224,变脸,['动作 科幻 犯罪 惊悚'],234828,8.4
225,E.T. 外星人,['剧情 科幻'],171867,8.5
226,发条橙,['犯罪 剧情 科幻'],203249,8.5
227,黄金三镖客,['冒险 西部'],58127,9.1
228,美国丽人,['剧情 爱情 家庭'],203495,8.5
229,彗星来的那一夜,['科幻 悬疑 惊悚'],210266,8.4
230,荒野生存,['冒险 传记 剧情'],139536,8.6
231,英国病人,['爱情 剧情 战争'],187880,8.5
232,血钻,['剧情 惊悚 冒险'],150893,8.5
233,聚焦,['剧情 传记'],143961,8.8
234,国王的演讲,['剧情 传记 历史'],374388,8.3
235,迁徙的鸟,['纪录片'],55332,9.1
236,非常嫌疑犯,['剧情 犯罪 悬疑 惊悚'],129259,8.6
237,勇士,['剧情 运动 家庭'],94905,8.9
238,燕尾蝶,['犯罪 剧情'],114125,8.6
239,黑鹰坠落,['动作 历史 战争'],131969,8.6
240,遗愿清单,['冒险 喜剧 剧情'],147162,8.5
241,穆赫兰道,['剧情 悬疑 惊悚'],256320,8.3
242,我爱你,['剧情 爱情'],65791,9.0
243,叫我第一名,['剧情 传记'],118214,8.6
244,枪火,['剧情 动作 犯罪'],110486,8.6
245,荒岛余生,['冒险 剧情'],151089,8.5
246,2001太空漫游,['科幻 惊悚 冒险'],107181,8.7
247,上帝也疯狂,['喜剧'],104217,8.6
248,千钧一发,['剧情 科幻 惊悚'],97525,8.7
249,大卫·戈尔的一生,['剧情 犯罪 悬疑'],106469,8.6
250,蓝色大门,['剧情 爱情 同性'],290853,8.3
